<think>We need to explain each token's influence. Use only data. Provide both positive and negative contributions. Provide overall shape. Ensure concise.</think>
**How each token shaped the model’s negative prediction**

| # | Token | Attribution | Effect on sentiment |
|---|-------|-------------|---------------------|
| 1 | *if* | **‑0.0126** | Strongly pushes the prediction toward negative. |
| 2 | *you* | **+0.0126** | Strongly pushes the prediction toward positive, balancing the effect of “if”. |
| 3 | *enjoy* | **+0.0045** | Adds a mild positive tone. |
| 4 | *films* | **+0.0022** | Adds a small positive cue. |
| 5 | *like* | **‑0.0021** | Slightly negative, slightly outweighing the positive impact of *enjoy*. |
| 6 | *american* | **+0.0051** | Positive contribution, likely referencing a known film series. |
| 7 | *pie* | **+0.0029** | Positive, continuing the reference. |
| 8 | *,* | **‑0.0004** | Negligible negative shift. |
| 9 | *road* | **‑0.0018** | Small negative cue. |
|10 | *trip* | **+0.0032** | Positive, counteracting *road*. |
|11 | *&* | **+0.0011** | Positive, small boost. |
|12 | *van* | **‑0.0044** | Strong negative signal. |
|13 | *wilder* | **+0.0030** | Positive, moderating the *van* effect. |
|14 | *avoid* | **‑0.0013** | Minor negative push. |
|15 | *this* | **‑0.0055** | Substantial negative influence, labeling the film negatively. |
|16 | *cinematic* | **‑0.0047** | Strong negative contribution. |
|17 | *refuse* | **‑0.0000076** | Virtually no effect. |
|18 | *at* | **‑0.0029** | Small negative cue. |
|19 | *all* | **‑0.0033** | Negative, amplifying the “avoid” sense. |
|20 | *costs* | **‑0.0029** | Negative, completing the warning tone. |

**Collective effect**

The most powerful negative signals are *if*, *this*, *cinematic*, and *van*, each pushing the prediction toward a negative sentiment. Positive tokens (*you*, *enjoy*, *american*, *pie*, *trip*, *&*, *wilder*) provide counterbalancing signals but are weaker or partially offset by adjacent negatives. Overall, the negative tokens outweigh the positives, producing the model’s final prediction of a very low positive probability (0.013) and a negative sentiment label. The review is thus interpreted as strongly discouraging the film, consistent with the human‑written negative tone.

# EPR Explainer: 0.5359, Verifier: 0.4737
