<think>We need to explain each token's influence. Provide natural language explanation, noting positive contributions push toward positive, negative push toward negative. Mention magnitude and collective shape. Keep concise, avoid too technical. Use provided data only. Let's craft.</think>
**How the top 20 words shaped the model’s negative prediction**

| Token | Attribution | Effect on sentiment | Explanation |
|-------|-------------|---------------------|-------------|
| **if** | –0.0126 | Strong negative | The word “if” starts a conditional that frames the review as a warning, nudging the model toward a negative stance. |
| **you** | +0.0126 | Strong positive | “You” addresses the reader directly and softens the tone, adding a slight positive influence. |
| **enjoy** | +0.0045 | Positive | Indicates a desire for enjoyment, which the model interprets as a subtle positive cue. |
| **films** | +0.0022 | Positive | General noun for movies; slightly supports the idea of enjoying films. |
| **like** | –0.0021 | Negative | “Like” here suggests comparison rather than endorsement, pulling the sentiment slightly negative. |
| **american** | +0.0051 | Positive | A proper noun that helps the model recognize a known movie title, slightly uplifting the score. |
| **pie** | +0.0029 | Positive | Completes the movie title “American Pie,” reinforcing the positive context of the title. |
| **,** | –0.0004 | Negligible negative | The comma signals a pause that the model treats as a very small negative shift. |
| **road** | –0.0018 | Negative | Part of the title “Road Trip”; the word alone leans toward negative because the film is criticized. |
| **trip** | +0.0032 | Positive | Completes the title “Road Trip,” adding a minor positive effect. |
| **&** | +0.0011 | Positive | Ampersand joins titles; gives a slight positive bump. |
| **van** | –0.0044 | Negative | Part of “Van Wilder”; the word alone leans negative due to the overall bad review. |
| **wilder** | +0.0030 | Positive | Completes “Van Wilder,” slightly countering the negative of “van.” |
| **avoid** | –0.0013 | Negative | Directly instructs readers to stay away, pushing sentiment negative. |
| **this** | –0.0055 | Negative | Pronoun points to the film itself, reinforcing the negative label. |
| **cinematic** | –0.0047 | Negative | Describes the film negatively (“cinematic refuse”), driving the score down. |
| **refuse** | –0.0000076 | Negligible negative | Extremely small effect; the word is negative but its contribution is almost zero. |
| **at** | –0.0029 | Negative | Preposition linking to “all costs,” adds a small negative push. |
| **all** | –0.0033 | Negative | Emphasizes the extent of the criticism, nudging sentiment further negative. |
| **costs** | –0.0029 | Negative | Final part of the warning (“at all costs”), contributing to a negative stance. |

**Collective impact**

The top 20 tokens balance a handful of small positive signals (addressing the reader, movie titles) against a larger negative charge stemming from warning words (“avoid,” “this,” “cinematic,” etc.). The strongest negative contributors are “if,” “this,” “cinematic,” “van,” and “refuse.” Their combined weight outweighs the positive tokens, giving the overall prediction a very low probability (≈0.013) of being positive—i.e., a clear negative sentiment. The model’s explanation shows that the negative sentiment is mainly driven by warning language and descriptive negatives rather than the specific movie titles.

# EPR Explainer: 0.7535, Verifier: 0.5496
