sample_id,iterations_to_verify,final_verdict,epr_history_explainer,epr_history_verifier,xai_method,llm_pair,Mutated
error_6_InsertHallucination,2,accept,"[0.6507706046104431, 0.232365220785141, 0.40554413199424744]","[1.0260440111160278, 0.7679626941680908, 0.8386963605880737]",Integrated Gradients,deepseek_gpt,False
error_90_OmitFeature,1,accept,"[0.5491134524345398, 0.6407448649406433]","[0.9145941138267517, 1.026658535003662]",Integrated Gradients,deepseek_gpt,False
error_24_OmitFeature,1,accept,"[0.6535704731941223, 0.32127365469932556]","[0.9201692342758179, 0.6635940670967102]",EBM,deepseek_gpt,False
error_135_OmitFeature,1,accept,"[0.6142699122428894, 0.4879569709300995]","[1.0522948503494263, 0.9644206762313843]",LIME,deepseek_gpt,False
error_102_InsertHallucination,9,accept,"[0.5863969922065735, 0.47294503450393677, 0.33212053775787354, 0.09469658881425858, 0.5821104049682617, 0.28002578020095825, 0.14731040596961975, 0.39503392577171326, 0.49542537331581116, 0.3282293975353241]","[1.1259504556655884, 1.190748929977417, 1.2916672229766846, 1.1646246910095215, 1.2218246459960938, 0.8895232677459717, 0.9590153098106384, 1.4036836624145508, 1.3300056457519531, 1.0963815450668335]",LIME,deepseek_gpt,False
error_156_InsertHallucination,2,accept,"[0.5360706448554993, 0.24268679320812225, 0.16397912800312042]","[1.1420395374298096, 0.834964394569397, 0.9065666198730469]",LIME,deepseek_gpt,False
error_153_InsertHallucination,1,accept,"[0.5279865264892578, 0.30060720443725586]","[0.9175578355789185, 0.9688073992729187]",Integrated Gradients,deepseek_gpt,False
error_145_InsertHallucination,4,accept,"[0.6553198099136353, 0.25627601146698, 0.6900553703308105, 0.4465138912200928, 0.3645005226135254]","[1.1672018766403198, 1.413989782333374, 1.20706307888031, 1.1874942779541016, 0.9479679465293884]",Integrated Gradients,deepseek_gpt,False
error_21_InsertHallucination,5,accept,"[0.6581094861030579, 0.4510592520236969, 0.5196774005889893, 0.5853884220123291, 0.47799840569496155, 0.4549475908279419]","[1.1261253356933594, 1.091286063194275, 1.1598048210144043, 1.2066346406936646, 1.0461914539337158, 1.0122157335281372]",LIME,deepseek_gpt,False
error_49_InsertHallucination,1,accept,"[0.7964945435523987, 0.44424203038215637]","[0.9860280156135559, 1.0195159912109375]",Integrated Gradients,deepseek_gpt,False
error_31_SwapMinorFeature,3,accept,"[0.6781699061393738, 0.5314109325408936, 0.3568021357059479, 0.6229496002197266]","[0.9932262301445007, 0.9111204147338867, 1.2612375020980835, 0.8293094038963318]",Integrated Gradients,deepseek_gpt,False
error_167_InsertHallucination,1,accept,"[0.7793858647346497, 0.6315227746963501]","[0.922748327255249, 0.9966170191764832]",Integrated Gradients,deepseek_gpt,False
error_132_InsertHallucination,1,accept,"[0.5727716088294983, 0.3609045445919037]","[1.1368271112442017, 0.6916247010231018]",Integrated Gradients,deepseek_gpt,False
error_190_SwapMinorFeature,1,accept,"[0.48472630977630615, 0.24494728446006775]","[0.7526945471763611, 0.9171812534332275]",EBM,deepseek_gpt,False
error_27_InsertHallucination,1,accept,"[0.509835958480835, 0.3028906285762787]","[1.1259996891021729, 0.9599636793136597]",LIME,deepseek_gpt,False
error_32_InsertHallucination,1,accept,"[0.6232516765594482, 0.6212199330329895]","[1.123847246170044, 0.7917078137397766]",Integrated Gradients,deepseek_gpt,False
error_175_InsertHallucination,1,accept,"[0.6422989964485168, 0.6062763929367065]","[0.8665634989738464, 0.7537009716033936]",Grad-Cam++,deepseek_gpt,False
error_84_NegateRelation,2,accept,"[0.7103582620620728, 0.4957978129386902, 0.6406042575836182]","[1.0341395139694214, 1.1944069862365723, 0.5743380188941956]",Integrated Gradients,deepseek_gpt,False
error_186_InsertHallucination,7,accept,"[0.5134299993515015, 0.45400992035865784, 0.6045154333114624, 0.46114856004714966, 0.4264853894710541, 0.413962185382843, 0.26907268166542053, 0.3923709988594055]","[1.1017329692840576, 1.2851483821868896, 1.1193037033081055, 0.5978425741195679, 1.006394863128662, 1.221896767616272, 1.0195263624191284, 0.9908398389816284]",Integrated Gradients,deepseek_gpt,False
error_91_OmitFeature,3,accept,"[0.5435097217559814, 0.5346463918685913, 0.6553348302841187, 0.17796248197555542]","[1.14336359500885, 1.029170036315918, 1.135679006576538, 0.9317944049835205]",LIME,deepseek_gpt,False
error_38_InsertHallucination,1,accept,"[0.4889199435710907, 0.6560757160186768]","[1.1878387928009033, 1.0001068115234375]",LIME,deepseek_gpt,False
error_3_InsertHallucination,3,accept,"[0.6527761220932007, 0.40249255299568176, 0.6110600829124451, 0.5539137721061707]","[0.8115894198417664, 1.1867876052856445, 0.9248232841491699, 1.0559279918670654]",Integrated Gradients,deepseek_gpt,False
error_107_InsertHallucination,1,accept,"[0.6039162874221802, 0.6339882016181946]","[1.0174823999404907, 0.8382814526557922]",Integrated Gradients,deepseek_gpt,False
