<think>We need to explain how each word influenced sentiment prediction, using only given data. We should note positive tokens push toward positive, negative toward negative. The overall prediction is negative (0.0134 close to zero but labeled negative). Provide brief explanation per token. The list includes 20 tokens with attributions.

We should mention that the most negative tokens: "this", "cinematic", "avoid", "at", "all", "costs", "van" etc. Positive: "you", "enjoy", "american", "pie", "road"? Road is negative. etc.

We need to not make assumptions beyond data. Provide natural language explanation.

Let's proceed.</think>
**How each of the top 20 words shaped the model’s negative prediction**

| Token | Attribution | Effect on sentiment | How it nudged the result |
|-------|-------------|---------------------|--------------------------|
| **if** | –0.0126 | **Negative** | A strong negative signal, pulling the prediction down. |
| **you** | +0.0126 | **Positive** | A balanced counter‑weight, pushing the prediction slightly toward the positive side. |
| **enjoy** | +0.0045 | **Positive** | Adds a small positive influence, suggesting a pleasant experience. |
| **films** | +0.0022 | **Positive** | A mild positive cue, hinting at a discussion of movies. |
| **like** | –0.0021 | **Negative** | Slightly counters any positive vibe from “enjoy” and “films.” |
| **american** | +0.0051 | **Positive** | Signals a specific film title, adding a positive context. |
| **pie** | +0.0029 | **Positive** | Continues the positive thread of a known movie. |
| **,** | –0.0004 | **Negative** | A negligible negative effect, reflecting the punctuation’s neutral role. |
| **road** | –0.0018 | **Negative** | Low‑level negative cue, dampening the overall sentiment. |
| **trip** | +0.0032 | **Positive** | Lightly offsets the negative from “road.” |
| **&** | +0.0011 | **Positive** | Adds a very small positive contribution, linking two movie titles. |
| **van** | –0.0044 | **Negative** | A strong negative signal, hurting the overall positivity. |
| **wilder** | +0.0030 | **Positive** | Balances the negative of “van” with a small positive push. |
| **avoid** | –0.0013 | **Negative** | Directly advises against the film, adding a negative bias. |
| **this** | –0.0055 | **Negative** | A clear negative cue, strongly lowering the sentiment. |
| **cinematic** | –0.0047 | **Negative** | Conveys a negative assessment of the film’s quality. |
| **refuse** | –0.0000076 | **Negative** | Virtually neutral but technically negative. |
| **at** | –0.0029 | **Negative** | Slightly negative, contributing to a discouraging tone. |
| **all** | –0.0033 | **Negative** | Low‑level negative influence. |
| **costs** | –0.0029 | **Negative** | Adds a final negative push to the overall sentence. |

**Collective impact**

The model’s sentiment score is very close to neutral (0.013) but leans negative because the negative tokens (“if,” “this,” “cinematic,” “avoid,” “at,” “all,” “costs,” “van,” etc.) collectively outweigh the small positive signals. The strongest negative contributors (“this,” “cinematic,” “if,” “van”) pull the prediction toward a negative sentiment, while the positive tokens (“you,” “enjoy,” “american,” “pie,” “trip,” “wilder,” “wilder,” etc.) provide counter‑weights that keep the score near zero. This balance explains why the final prediction is classified as **Negative**.

# EPR Explainer: 0.7098, Verifier: 0.5037
