<think>We need to explain how each word in top 20 token attributions influenced the model's sentiment prediction. We should list each token, its attribution value, indicate if positive or negative contributor, and describe impact. Keep concise, actionable insights, no extra assumptions. Use provided data only. Should cover all 20 tokens. Let's craft explanation.</think>
**Token‑level influence on the model’s negative prediction (Sample #198)**  

| # | Token | Attribution | Effect on sentiment | Explanation |
|---|-------|-------------|---------------------|-------------|
| 1 | *if* | **‑0.0126** | Strong negative push | The word “if” signals a conditional or uncertain tone, which the model associates with a more cautious or negative stance. |
| 2 | *you* | **+0.0126** | Strong positive push | “You” is a direct address that often introduces a personal opinion, nudging the prediction toward a positive sentiment. |
| 3 | *enjoy* | **+0.0045** | Positive | Suggests pleasure or approval, giving a small boost to positivity. |
| 4 | *films* | **+0.0022** | Positive | The word “films” contextualizes the sentence as a movie review, slightly favoring positive sentiment. |
| 5 | *like* | **‑0.0021** | Negative | “Like” here precedes a comparison, hinting at a contrast that the model interprets as a negative cue. |
| 6 | *american* | **+0.0051** | Positive | Part of a title (“American Pie”), contributes positively by referencing a known film, which the model treats as neutral‑positive. |
| 7 | *pie* | **+0.0029** | Positive | Completes the title “American Pie,” reinforcing the positive contribution of a familiar film name. |
| 8 | *,* (comma) | **‑0.0004** | Negligible negative | The punctuation token has a very small negative effect, likely due to its association with sentence breaks. |
| 9 | *road* | **‑0.0018** | Negative | Starts the phrase “Road Trip,” which the model interprets as a negative cue because of the overall negative context. |
|10 | *trip* | **+0.0032** | Positive | Complements “road” into the movie title “Road Trip,” giving a mild positive push. |
|11 | *&* | **+0.0011** | Positive | The ampersand links two titles (“American Pie & Van Wilder”), adding a small positive signal. |
|12 | *van* | **‑0.0044** | Strong negative | Part of the title “Van Wilder,” which the model flags as a negative contributor in this context. |
|13 | *wilder* | **+0.0030** | Positive | Completes “Van Wilder,” slightly offsetting the negative effect of “van.” |
|14 | *avoid* | **‑0.0013** | Negative | Explicitly advises against watching, a direct negative signal. |
|15 | *this* | **‑0.0055** | Strong negative | Refers to the film being criticized; “this” signals a direct negative claim. |
|16 | *cinematic* | **‑0.0047** | Strong negative | The adjective “cinematic” paired with the negative context contributes a negative tone. |
|17 | *refuse* | **‑0.000008** | Negligible negative | Essentially neutral; the tiny negative value likely reflects model noise. |
|18 | *at* | **‑0.0029** | Negative | Preposition in the phrase “at all costs,” adding a negative nuance. |
|19 | *all* | **‑0.0033** | Negative | Emphasizes the extremity (“all costs”), strengthening the negative sentiment. |
|20 | *costs* | **‑0.0029** | Negative | Completes the phrase “all costs,” reinforcing the negative stance. |

**Collective impact**  
The top 20 tokens combine to tip the overall prediction toward a negative sentiment. Tokens that mention specific film titles (*American Pie*, *Road Trip*, *Van Wilder*) have mixed effects, but the strong negative signals from words like “if,” “avoid,” “this,” “cinematic,” and the phrase “all costs” dominate. The net attribution from these tokens is slightly negative, aligning with the final predicted sentiment of “Negative.”

# EPR Explainer: 0.6775, Verifier: 0.3412
