sample_id,iterations_to_verify,final_verdict,epr_history_explainer,epr_history_verifier,xai_method,llm_pair
error_45_InsertHallucination,2,accept,"[0.6419733166694641, 0.5675757527351379, 0.4935082197189331]","[0.9866284132003784, 1.0661484003067017, 0.5351710915565491]",EBM,deepseek_gpt
error_161_SwapMinorFeature,2,accept,"[0.6887286305427551, 0.3781842589378357, 0.4195345640182495]","[1.0190964937210083, 1.095406413078308, 0.9387092590332031]",Integrated Gradients,deepseek_gpt
error_44_InsertHallucination,1,accept,"[0.7523850798606873, 0.5901355147361755]","[1.0051343441009521, 1.1627733707427979]",Integrated Gradients,deepseek_gpt
error_34_InsertHallucination,2,accept,"[0.6570443511009216, 0.4589139223098755, 0.30632394552230835]","[1.1400026082992554, 1.0770151615142822, 0.9377051591873169]",LIME,deepseek_gpt
error_93_InsertHallucination,3,accept,"[0.7168552279472351, 0.5140583515167236, 0.6207829117774963, 0.5052522420883179]","[1.173752784729004, 0.9791125059127808, 1.1357325315475464, 0.7776868343353271]",Integrated Gradients,deepseek_gpt
error_6_InsertHallucination,1,accept,"[0.6507706046104431, 0.4131714403629303]","[1.0260440111160278, 1.096045732498169]",Integrated Gradients,deepseek_gpt
error_198_NegateRelation,2,accept,"[0.48761406540870667, 0.35203272104263306, 0.3688764274120331]","[0.9238107800483704, 0.9559617638587952, 0.7706693410873413]",SHAP,deepseek_gpt
error_38_InsertHallucination,1,accept,"[0.4889199435710907, 0.126062273979187]","[1.1878387928009033, 1.1298142671585083]",LIME,deepseek_gpt
error_58_InsertHallucination,7,accept,"[0.7163118720054626, 0.3996484577655792, 0.5670822858810425, 0.35493239760398865, 0.48438718914985657, 0.4335785210132599, 0.38086003065109253, 0.6101428866386414]","[1.0587947368621826, 0.9459053874015808, 0.9174296259880066, 0.9829986691474915, 1.1370792388916016, 1.1630561351776123, 0.9134595990180969, 0.9146628379821777]",Integrated Gradients,deepseek_gpt
error_80_InsertHallucination,7,accept,"[0.7156920433044434, 0.7256482839584351, 0.4609069526195526, 0.6620486974716187, 0.5440270900726318, 0.6369463205337524, 0.45768436789512634, 0.6944405436515808]","[1.1341724395751953, 0.9418995976448059, 0.580540120601654, 1.0052909851074219, 0.9722968935966492, 0.9887111186981201, 0.9160126447677612, 0.6681800484657288]",Integrated Gradients,deepseek_gpt
error_15_OmitFeature,3,accept,"[0.6072881817817688, 0.4823116064071655, 0.24343757331371307, 0.2401445209980011]","[1.0187642574310303, 1.0193564891815186, 1.032191514968872, 1.1402955055236816]",LIME,deepseek_gpt
error_11_InsertHallucination,1,accept,"[0.7193036079406738, 0.5590912699699402]","[0.872582197189331, 0.7431374788284302]",Integrated Gradients,deepseek_gpt
error_186_InsertHallucination,10,reject,"[0.5134299993515015, 0.33675622940063477, 0.48176097869873047, 0.4242050051689148, 0.5551237463951111, 0.40031489729881287, 0.3846006393432617, 0.09992289543151855, 0.03808658942580223, 0.5525857210159302, 0.6503080129623413]","[1.1017329692840576, 0.7572159171104431, 0.8615092039108276, 1.2006510496139526, 0.9963313341140747, 0.8922213315963745, 0.6760586500167847, 1.2436528205871582, 0.8661336302757263, 0.9402946829795837, 0.9737926721572876]",Integrated Gradients,deepseek_gpt
error_54_InsertHallucination,1,accept,"[0.7611706852912903, 0.4090547263622284]","[1.1512739658355713, 0.9111695885658264]",Integrated Gradients,deepseek_gpt
error_170_InsertHallucination,1,accept,"[0.530738353729248, 0.20014344155788422]","[1.168697714805603, 1.1304703950881958]",SHAP,deepseek_gpt
error_135_OmitFeature,1,accept,"[0.6142699122428894, 0.295947402715683]","[1.0522948503494263, 0.9161423444747925]",LIME,deepseek_gpt
error_27_InsertHallucination,1,accept,"[0.509835958480835, 0.5159679055213928]","[1.1259996891021729, 1.0994954109191895]",LIME,deepseek_gpt
error_110_InsertHallucination,6,accept,"[0.6645623445510864, 0.6228700876235962, 0.39115670323371887, 0.5282683968544006, 0.4422867000102997, 0.4563893675804138, 0.6328715085983276]","[1.1533689498901367, 1.017109990119934, 1.0438069105148315, 0.9918670654296875, 1.2340527772903442, 1.1989009380340576, 1.0357587337493896]",Integrated Gradients,deepseek_gpt
error_39_InsertHallucination,4,accept,"[0.7328134179115295, 0.7266851663589478, 0.5914960503578186, 0.4239167869091034, 0.43235015869140625]","[1.0261505842208862, 0.8683139085769653, 0.8852678537368774, 1.065928339958191, 1.3064066171646118]",Integrated Gradients,deepseek_gpt
error_180_InsertHallucination,5,accept,"[0.7844375371932983, 0.6976312398910522, 0.6015918850898743, 0.7688497304916382, 0.5523538589477539, 0.4632604122161865]","[1.2091578245162964, 1.0070959329605103, 0.9624758362770081, 1.0393874645233154, 1.0255794525146484, 0.9396628737449646]",Integrated Gradients,deepseek_gpt
error_102_InsertHallucination,1,accept,"[0.5863969922065735, 0.17704863846302032]","[1.1259504556655884, 0.9340132474899292]",LIME,deepseek_gpt
error_81_InsertHallucination,1,accept,"[0.6433858275413513, 0.5355504751205444]","[1.099727749824524, 0.9690448641777039]",LIME,deepseek_gpt
error_137_InsertHallucination,3,accept,"[0.6260271072387695, 0.48242563009262085, 0.4777616560459137, 0.31091737747192383]","[0.9615287184715271, 0.9564645886421204, 1.1279257535934448, 1.1699244976043701]",Integrated Gradients,deepseek_gpt
error_156_InsertHallucination,4,accept,"[0.5360706448554993, 0.21084824204444885, 0.32035815715789795, 0.4021570682525635, 0.5906952619552612]","[1.1420395374298096, 1.1388581991195679, 1.2460057735443115, 1.250959873199463, 1.0841253995895386]",LIME,deepseek_gpt
error_4_OmitFeature,4,accept,"[0.514299213886261, 0.1669241338968277, 0.3143191337585449, 0.32000890374183655, 0.304060161113739]","[1.210020661354065, 0.8102457523345947, 0.9151553511619568, 0.8002595901489258, 1.0778478384017944]",EBM,deepseek_gpt
error_155_InsertHallucination,2,accept,"[0.6216874122619629, 0.4563043713569641, 0.22077634930610657]","[0.5312821269035339, 1.094828486442566, 0.8911687731742859]",LIME,gpt_qwen
error_173_NegateRelation,2,accept,"[0.3410249352455139, 0.6488757133483887, 0.20308837294578552]","[0.683456301689148, 1.2513726949691772, 1.1895089149475098]",LIME,gpt_qwen
error_158_InsertHallucination,3,accept,"[0.5696479678153992, 0.5068056583404541, 0.4097248613834381, 0.43697389960289]","[0.6089797616004944, 1.2790313959121704, 0.9980681538581848, 0.9341244101524353]",LIME,gpt_qwen
error_56_InsertHallucination,1,accept,"[0.8536994457244873, 0.19856484234333038]","[0.5571683049201965, 0.6053830981254578]",Integrated Gradients,gpt_qwen
error_149_NegateRelation,1,accept,"[0.545149028301239, 0.33328190445899963]","[0.5803773403167725, 0.8411820530891418]",LIME,gpt_qwen
error_29_InsertHallucination,2,accept,"[0.8849493265151978, 0.46575096249580383, 0.4104103744029999]","[0.46426424384117126, 0.7047550082206726, 0.917032778263092]",SHAP,gpt_qwen
error_176_NegateRelation,1,accept,"[0.4376586973667145, 0.3304992616176605]","[0.7849193215370178, 1.1531850099563599]",LIME,gpt_qwen
error_20_InsertHallucination,1,accept,"[0.8854568004608154, 0.19956035912036896]","[0.32876601815223694, 0.8389844298362732]",Integrated Gradients,gpt_qwen
error_148_NegateRelation,2,accept,"[0.7007102966308594, 0.38175350427627563, 0.11636070162057877]","[0.5661474466323853, 1.2254852056503296, 0.7345830798149109]",LIME,gpt_qwen
error_156_InsertHallucination,2,accept,"[0.8079750537872314, 0.3464179039001465, 0.23383496701717377]","[0.4127599000930786, 0.7712728381156921, 0.9584335684776306]",Integrated Gradients,gpt_qwen
error_114_NegateRelation,3,accept,"[0.5140520334243774, 0.34835153818130493, 0.7672836780548096, 0.6765308976173401]","[0.7854519486427307, 1.1207143068313599, 1.1819512844085693, 1.044755220413208]",LIME,gpt_qwen
error_192_NegateRelation,3,accept,"[0.7067025899887085, 0.6454961895942688, 0.7399453520774841, 0.5341213941574097]","[0.8199865221977234, 1.258988857269287, 1.2070046663284302, 1.3058243989944458]",LIME,gpt_qwen
error_80_InsertHallucination,1,accept,"[0.8125768303871155, 0.2547203600406647]","[0.4799482524394989, 0.8457404971122742]",EBM,gpt_qwen
error_46_SwapMinorFeature,1,accept,"[0.7776407599449158, 0.22060607373714447]","[0.5229117274284363, 0.6149209141731262]",Integrated Gradients,gpt_qwen
error_150_InsertHallucination,2,accept,"[0.47974878549575806, 0.5510543584823608, 0.3760663568973541]","[0.4908219277858734, 0.8678964376449585, 0.8689094185829163]",Integrated Gradients,gpt_qwen
error_91_InsertHallucination,3,accept,"[0.7562695145606995, 0.6276735663414001, 0.6596840620040894, 0.4731539785861969]","[0.49730491638183594, 0.9510785341262817, 0.9436675310134888, 1.0059236288070679]",Integrated Gradients,gpt_qwen
error_104_InsertHallucination,2,accept,"[0.6128241419792175, 0.40847495198249817, 0.2906701862812042]","[0.7796410322189331, 1.223745346069336, 1.010939359664917]",LIME,gpt_qwen
error_25_InsertHallucination,1,accept,"[0.5930300951004028, 0.6412608623504639]","[0.5311635732650757, 0.8060919642448425]",Integrated Gradients,gpt_qwen
error_178_InsertHallucination,1,accept,"[0.9542264342308044, 0.29171839356422424]","[0.5982668399810791, 1.1123515367507935]",EBM,gpt_qwen
error_43_InsertHallucination,1,accept,"[0.9332279562950134, 0.7326657772064209]","[0.5958347320556641, 0.5465878248214722]",EBM,gpt_qwen
error_22_InsertHallucination,1,accept,"[0.8703403472900391, 0.10071844607591629]","[0.683386504650116, 1.220413327217102]",EBM,gpt_qwen
error_89_InsertHallucination,2,accept,"[0.6820500493049622, 0.3167332112789154, 0.5719339847564697]","[0.6692760586738586, 1.2521978616714478, 1.1532608270645142]",LIME,gpt_qwen
error_52_InsertHallucination,1,accept,"[0.9364277720451355, 0.4804795980453491]","[0.40073293447494507, 0.6314745545387268]",EBM,gpt_qwen
error_66_InsertHallucination,1,accept,"[0.630470871925354, 0.22805018723011017]","[0.6132819652557373, 1.097490668296814]",LIME,gpt_qwen
error_129_InsertHallucination,1,accept,"[0.9325725436210632, 0.48446914553642273]","[0.6436454057693481, 0.872427761554718]",SHAP,gpt_qwen
error_192_InsertHallucination,1,accept,"[0.566523015499115, 0.4904993772506714]","[1.2710130214691162, 1.0217794179916382]",LIME,qwen_gpt
error_57_SwapTopFeature,5,accept,"[0.7412792444229126, 0.6369876265525818, 0.587870717048645, 0.6989439725875854, 0.6977677345275879, 0.7150801420211792]","[1.0448333024978638, 1.0906579494476318, 0.9846100211143494, 1.0517454147338867, 1.077527403831482, 0.9977867603302002]",Integrated Gradients,qwen_gpt
error_155_InsertHallucination,1,accept,"[0.6125932335853577, 0.2709391415119171]","[1.102711796760559, 1.1236730813980103]",LIME,qwen_gpt
error_38_SwapMinorFeature,1,accept,"[0.6721041202545166, 0.41056278347969055]","[0.9469802379608154, 0.9715406894683838]",Integrated Gradients,qwen_gpt
error_149_InsertHallucination,1,accept,"[0.6757344603538513, 0.6542826294898987]","[0.9432827830314636, 0.8063655495643616]",SHAP,qwen_gpt
error_185_SwapTopFeature,4,accept,"[0.5167058110237122, 0.4049195349216461, 0.3185567557811737, 0.44197866320610046, 0.29462936520576477]","[1.2012091875076294, 1.2100567817687988, 1.0110024213790894, 1.0820584297180176, 1.035963535308838]",LIME,qwen_gpt
error_46_OmitFeature,2,accept,"[0.4997948408126831, 0.40668803453445435, 0.6639290452003479]","[1.291296362876892, 1.3699510097503662, 0.9593033790588379]",LIME,qwen_gpt
error_122_InsertHallucination,6,accept,"[0.7495024800300598, 0.5056683421134949, 0.677997887134552, 0.7650833129882812, 0.5606833696365356, 0.7544190883636475, 0.29000407457351685]","[1.1732441186904907, 1.0455573797225952, 1.133671522140503, 0.9418681859970093, 0.7687787413597107, 0.8478568196296692, 0.9352338314056396]",EBM,qwen_gpt
error_152_InsertHallucination,3,accept,"[0.5306849479675293, 0.3983434736728668, 0.344573050737381, 0.5117005705833435]","[0.9198307991027832, 0.9601582884788513, 1.2279045581817627, 1.2268412113189697]",LIME,qwen_gpt
error_20_NegateRelation,1,accept,"[0.6678049564361572, 0.3641189634799957]","[1.0354424715042114, 0.7324172854423523]",Integrated Gradients,qwen_gpt
error_178_SwapMinorFeature,1,accept,"[0.6535152196884155, 0.39991727471351624]","[1.1634207963943481, 1.1914753913879395]",LIME,qwen_gpt
error_52_OmitFeature,1,accept,"[0.6758190989494324, 0.5873196125030518]","[1.0872564315795898, 0.8710838556289673]",Integrated Gradients,qwen_gpt
error_100_NegateRelation,6,accept,"[0.5021044015884399, 0.5169336199760437, 0.3418421447277069, 0.5625725388526917, 0.423713743686676, 0.49556902050971985, 0.47117719054222107]","[1.2161754369735718, 0.9732246994972229, 1.242097020149231, 1.0520788431167603, 1.3408455848693848, 1.1846063137054443, 1.107508897781372]",LIME,qwen_gpt
error_63_InsertHallucination,1,accept,"[0.7410068511962891, 0.5716065764427185]","[1.0558764934539795, 0.9453785419464111]",Integrated Gradients,qwen_gpt
error_12_InsertHallucination,1,accept,"[0.5675106644630432, 0.2799150347709656]","[0.9444091320037842, 0.6094231605529785]",LIME,qwen_gpt
error_44_InsertHallucination,3,accept,"[0.6661834716796875, 0.6099151968955994, 0.44944825768470764, 0.6556563973426819]","[1.0714290142059326, 1.13853120803833, 0.7122083306312561, 1.0760910511016846]",EBM,qwen_gpt
error_70_OmitFeature,2,accept,"[0.641365647315979, 0.37513378262519836, 0.3609027564525604]","[1.0804429054260254, 0.9297495484352112, 0.936370849609375]",EBM,qwen_gpt
error_199_InsertHallucination,2,accept,"[0.5506266951560974, 0.1353583037853241, 0.5749669671058655]","[1.268362283706665, 0.9437143206596375, 0.8533665537834167]",LIME,qwen_gpt
error_80_OmitFeature,1,accept,"[0.7431467175483704, 0.4633166491985321]","[1.0643268823623657, 0.9421898126602173]",EBM,qwen_gpt
error_79_SwapTopFeature,1,accept,"[0.7114267349243164, 0.2300446778535843]","[1.0620495080947876, 0.9912979006767273]",LIME,qwen_gpt
error_144_SwapMinorFeature,1,accept,"[0.6094314455986023, 0.47286319732666016]","[1.2402222156524658, 1.1034554243087769]",LIME,qwen_gpt
error_81_InsertHallucination,1,accept,"[0.7827090620994568, 0.7386450171470642]","[0.909915566444397, 0.6517999768257141]",Grad-Cam++,qwen_gpt
error_120_NegateRelation,2,accept,"[0.6832426190376282, 0.5149849057197571, 0.602774441242218]","[0.869283139705658, 1.1564689874649048, 0.9952805638313293]",Integrated Gradients,qwen_gpt
error_87_OmitFeature,1,accept,"[0.6329941749572754, 0.3801175653934479]","[0.952377438545227, 1.2225873470306396]",LIME,qwen_gpt
error_91_OmitFeature,1,accept,"[0.5435, 0.5615737438201904]","[0.6044608950614929, 1.0829105377197266]",LIME,deep_qwen
error_187_InsertHallucination,1,accept,"[0.6837, 0.5973304510116577]","[0.6090130805969238, 0.9980441927909851]",Integrated Gradients,deep_qwen
error_180_InsertHallucination,1,accept,"[0.7844, 0.490061491727829]","[0.6350065469741821, 1.0557286739349365]",Integrated Gradients,deep_qwen
error_44_InsertHallucination,1,accept,"[0.7524, 0.5176754593849182]","[0.5983629822731018, 1.0247305631637573]",Integrated Gradients,deep_qwen
error_188_NegateRelation,10,accept,"[0.8066, 0.4937065839767456, 0.632423996925354, 0.7532325387001038, 0.7338579893112183, 0.6021568775177002, 0.6650376915931702, 0.5127891898155212, 0.5680335760116577, 0.6179648637771606, 0.7301062941551208]","[0.5190352201461792, 1.068655252456665, 0.8462877869606018, 1.039441704750061, 1.3233038187026978, 1.1009602546691895, 1.2695852518081665, 1.2378809452056885, 1.3984849452972412, 1.0597355365753174, 0.9835587739944458]",Integrated Gradients,deep_qwen
error_158_NegateRelation,1,accept,"[0.6951, 0.5768039226531982]","[0.5553457736968994, 0.7884852290153503]",Integrated Gradients,deep_qwen
error_29_NegateRelation,3,accept,"[0.7885, 0.8335972428321838, 0.5517124533653259, 0.3938538134098053]","[0.5871897339820862, 1.2925605773925781, 0.9856216311454773, 0.7352997064590454]",LIME,deep_qwen
error_49_InsertHallucination,3,accept,"[0.7965, 0.49359390139579773, 0.658909022808075, 0.5337570905685425]","[0.54170161485672, 1.4191865921020508, 0.7595179080963135, 0.589149534702301]",Integrated Gradients,deep_qwen
error_2_SwapMinorFeature,2,accept,"[0.5248, 0.4149174392223358, 0.3649112284183502]","[0.4745161831378937, 0.8805276155471802, 1.0540977716445923]",SHAP,deep_qwen
error_1_OmitFeature,2,accept,"[0.5733, 0.5473523139953613, 0.3703131675720215]","[0.577697217464447, 1.0381035804748535, 0.6547675728797913]",EBM,deep_qwen
error_179_InsertHallucination,3,accept,"[0.7334, 0.5402839779853821, 0.4379071593284607, 0.7013731002807617]","[0.6403743028640747, 1.3173094987869263, 0.8667367696762085, 1.0924532413482666]",Integrated Gradients,deep_qwen
error_47_NegateRelation,1,accept,"[0.6875, 0.5710881948471069]","[0.5558478832244873, 1.0659894943237305]",LIME,deep_qwen
error_27_InsertHallucination,1,accept,"[0.5098, 0.4145175516605377]","[0.5291441082954407, 1.025912880897522]",LIME,deep_qwen
error_102_InsertHallucination,10,accept,"[0.5864, 0.2959996163845062, 0.27719107270240784, 0.5720353126525879, 0.2129087597131729, 0.2629569470882416, 0.3570537269115448, 0.3191358745098114, 0.235993430018425, 0.2811449468135834, 0.3325580060482025]","[0.6018210053443909, 1.2536040544509888, 1.2778066396713257, 1.270473599433899, 0.8900765776634216, 1.1730008125305176, 0.9196338653564453, 0.7912670373916626, 1.2339293956756592, 1.009520173072815, 1.0057417154312134]",LIME,deep_qwen
error_101_InsertHallucination,2,accept,"[0.6246, 0.6560512781143188, 0.4540468156337738]","[0.5952996015548706, 0.9747185707092285, 1.0509496927261353]",Integrated Gradients,deep_qwen
error_35_OmitFeature,1,accept,"[0.6618, 0.30747219920158386]","[0.630568265914917, 1.1863240003585815]",EBM,deep_qwen
error_173_InsertHallucination,2,accept,"[0.8179, 0.7404109835624695, 0.3864237368106842]","[0.6207791566848755, 0.8393524289131165, 0.6925240755081177]",Integrated Gradients,deep_qwen
error_77_InsertHallucination,1,accept,"[0.6282, 0.2696583569049835]","[0.6594523787498474, 1.153038501739502]",Integrated Gradients,deep_qwen
error_58_InsertHallucination,1,accept,"[0.7163, 0.4495745599269867]","[0.6227971911430359, 0.65423184633255]",Integrated Gradients,deep_qwen
error_46_InsertHallucination,1,accept,"[0.774, 0.5149486660957336]","[0.6447749733924866, 0.9284549951553345]",Integrated Gradients,deep_qwen
error_12_NegateRelation,1,accept,"[0.7217, 0.022890759631991386]","[0.6940116882324219, 0.9872007966041565]",LIME,deep_qwen
error_200_InsertHallucination,2,accept,"[0.7203, 0.6729158759117126, 0.5585781335830688]","[0.7103313207626343, 0.9449276328086853, 0.6433917880058289]",Integrated Gradients,deep_qwen
error_157_InsertHallucination,1,accept,"[0.7328, 0.3972349166870117]","[0.5570169687271118, 0.8256580233573914]",Integrated Gradients,deep_qwen
error_61_InsertHallucination,3,accept,"[0.6605, 0.455834299325943, 0.46716418862342834, 0.5312555432319641]","[0.5724493861198425, 1.0028963088989258, 1.2899601459503174, 1.1952558755874634]",Integrated Gradients,deep_qwen
error_87_InsertHallucination,2,accept,"[0.7036, 0.4961375594139099, 0.6501119136810303]","[0.5089246034622192, 1.1755917072296143, 0.6560638546943665]",Integrated Gradients,deep_qwen
